name,address,phone,website,email,instagram,cuisine,opening_hours,lat,lon,osm_id
De Roode Leeuw,"Damrak 93, 1012LP, Amsterdam",,https://www.brasseriederoodeleeuw.nl/,,,,,52.3737595,4.8936095,34044093
Turbo,Amsterdam,,,,,,,52.3606446,4.925313,94829656
Meram,"Pretoriusstraat 22-H, 1092GG, Amsterdam",+31 20 3626420,https://meram.nl/,,,turkish,,52.3560114,4.9255949,95288389
Café Maxwell,"Beukenplein 27, 1092BB, Amsterdam",+31 20 772 6748,https://www.maxwellcafe.nl/nl/home,info@maxwellcafe.nl,@cafe_maxwell,international,Su-We 11:00-00:00; Fr-Sa 11:00-02:00; Th 11:00-01:00,52.3568021,4.9186525,95288416
ThaiCoon,"Beukenplein 10, 1091KG, Amsterdam",+31 20 362 3302,https://thaicoon.nl/amsterdam.html,,,thai,Mo-Su 15:00-00:00,52.3571368,4.9176581,95288419
Mojo,Amsterdam,+31 20 233 1367,,,,,Mo-Su 11:00-01:00,52.3547935,4.9281192,95288421
La Vallade,Amsterdam,,,,,,Mo-Su 17:30-21:00,52.3542383,4.9269508,95288423
Café-Restaurant Dauphine,"Prins Bernhardplein 175, 1097BL, Amsterdam",,https://caferestaurantdauphine.nl,,,,Mo-Fr 11:00-01:00; Sa-Su 12:00 - 01:00,52.3483698,4.9173053,95288426
Volt,"Ferdinand Bolstraat 178, 1072LT, Amsterdam",+31 20 471 5544,https://www.restaurantvolt.nl,,,french,,52.3514961,4.8911767,249327304
En Japanese kitchen & Sake bar,Amsterdam,,,,,japanese,,52.3511266,4.8895103,249327899
Utage Sake Bar,"Lekstraat 11, 1079EK, Amsterdam",,https://www.utage-sakebar.nl,,,japanese,Tu-Sa 17:00-23:00,52.3451944,4.9082519,249401845
Kong Kha,"Rijnstraat 87, 1079GZ, Amsterdam",+31 20 661 2578,,,,chinese,,52.3452521,4.9058841,249406236
I Trulli,"Rijnstraat 101, 1079HA, Amsterdam",,,,,italian,,52.3445658,4.9061298,249406237
Pizzeria San Marco,"Amstelkade 148A, 1078AW, Amsterdam",,,,,italian,,52.3481204,4.8909926,249442603
Kong Ming,"Rijnstraat 67, 1079GW, Amsterdam",,,,,chinese,,52.3457496,4.9057054,249443116
Papa,Amsterdam,,,,,,,52.3482353,4.9047332,249628961
Phukradung,Amsterdam,,,,,,,52.3514674,4.9034904,249628962
